Date,55,14,29,7,82,5,6,32,23,46,IsHoliday
2010-02-05,21249.31,19466.91,7024.95,21084.08,19484.03,32229.38,5749.03,11875.84,24146.49,20837.77,False
2010-02-12,18892.81,18129.02,7696.61,18310.31,20949.36,29620.81,9135.0,14700.59,22812.41,18826.47,True
2010-02-19,17404.53,17491.36,7966.55,19985.2,20195.2,26468.27,6060.26,20275.45,21381.85,22414.94,False
2010-02-26,16708.1,16118.26,4972.65,17224.22,19023.33,24101.89,5244.56,8146.57,17798.37,18099.75,False
2010-03-05,16120.04,18268.78,5306.7,19659.7,19974.91,23082.14,4221.25,9907.51,18993.69,20565.45,False
2010-03-12,14410.07,15331.75,3841.96,21529.14,18201.88,21498.92,5619.0,6938.45,17426.63,18114.67,False
2010-03-19,14590.87,12738.78,5406.4,22711.59,18348.98,22632.57,4906.05,6175.31,20132.03,18317.46,False
2010-03-26,11836.92,12832.47,3520.75,16254.21,16479.16,38971.89,7468.33,6698.76,19105.92,16803.77,False
2010-04-02,13435.38,14333.75,4143.54,22427.62,17695.89,29967.92,4132.61,7648.28,18666.57,19053.49,False
2010-04-09,11185.09,12874.07,4317.52,20516.64,17678.66,18516.45,4428.8,8763.71,21678.02,17682.48,False
2010-04-16,9537.96,12309.14,3963.5,19330.26,16566.09,11570.27,5020.78,6829.55,19811.02,17394.72,False
2010-04-23,11082.83,12749.37,4187.11,18534.4,16204.99,24763.98,3945.19,5933.18,19377.76,17825.26,False
2010-04-30,11439.61,12172.32,3793.75,22723.48,17115.38,22006.41,4736.15,9109.86,18274.46,18120.31,False
2010-05-07,11062.66,14460.84,5277.46,20457.62,17893.1,19260.44,7477.7,9616.73,22172.27,19219.2,False
2010-05-14,9471.58,14678.22,5651.19,18771.35,17814.39,16891.66,6982.17,16167.09,19986.37,18294.5,False
2010-05-21,12395.06,11480.15,4333.28,28726.86,17328.64,16157.17,3395.75,6472.63,20697.6,18845.98,False
2010-05-28,10256.27,12218.11,3532.78,36911.59,17229.66,15784.6,6165.59,7381.56,23409.56,19693.66,False
2010-06-04,12515.03,14491.35,4062.22,44563.68,20519.54,22932.26,5484.9,8841.86,28857.18,22445.36,False
2010-06-11,14347.95,13516.74,4121.2,26910.46,18551.52,21817.36,4082.04,7060.14,24072.22,20377.63,False
2010-06-18,9844.85,12693.5,4022.0,26984.25,17940.03,19778.44,3902.26,7393.92,27795.85,18936.81,False
2010-06-25,12528.26,12979.99,4486.72,28912.18,17824.37,19054.58,4239.1,6510.87,27161.66,20309.52,False
2010-07-02,11466.06,13494.79,5222.08,22589.0,18581.75,18887.71,4541.91,6939.97,23137.32,19082.57,False
2010-07-09,11898.06,15032.03,5469.9,22767.34,19092.69,20249.54,4986.25,7180.81,22121.47,19259.43,False
2010-07-16,12663.38,13550.19,4571.66,22666.55,18118.18,17918.22,4772.7,5251.9,19234.02,16545.46,False
2010-07-23,9468.88,11945.81,3814.24,20029.1,16361.87,17313.46,5758.04,6247.05,20200.65,17424.93,False
2010-07-30,9914.6,12421.92,4519.33,17709.46,15881.65,16472.48,3932.95,6080.16,20456.24,18044.49,False
